id,short_name,account_name,address,pan_number,balance,phone_number,email,contact_name,group,collector,guarantee_world_insurer,credit_limit,overdue120,grant_period,pause
,,Agricultural Development Bank Ltd,,,0,,,,Normal,,,0,0,0,0
,,Agriculture and Forestry University,,,0,,,,Normal,,,0,0,0,0
,,Agro Thai Foods Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,AH and Z Associates Ltd,,,0,,,,Normal,,,0,0,0,0
,,Aide Ascent Pvt. Ltd,,,0,,,,Normal,,,0,0,0,0
,,AIMS CA COACHING PVT.LTD,,,0,,,,Normal,,,0,0,0,0
,,Aims Institute of Education and Technology,,,0,,,,Normal,,,0,0,0,0
,,Aincho Paincho Saving And Credit Cooperative Society Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Airlift Technoloy Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Ajambari Saving And Credit Cooperative Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Ajeet management and development company pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Ajirkot Rural Municipality,,,0,,,,Normal,,,0,0,0,0
,,A-la-Carte,,,0,,,,Normal,,,0,0,0,0
,,A-La-Carte Hospitality Nepal,,,0,,,,Normal,,,0,0,0,0
,,Alax Basnet,,,0,,,,Normal,,,0,0,0,0
,,Alev Kebab Sultanate Pvt. Ltd,,,0,,,,Normal,,,0,0,0,0
,,Alfaz Mart Pvt Ltd,,,0,,,,Normal,,,0,0,0,0
,,Alina Infotech Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Alka Dental Home,,,0,,,,Normal,,,0,0,0,0
,,Alka Hospital Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Alladin Ad Solutions,,,0,,,,Normal,,,0,0,0,0
,,Alliance Private Limited,,,0,,,,Normal,,,0,0,0,0
,,All Star Motors Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Aloj Shrestha,,,0,,,,Normal,,,0,0,0,0
,,Alpha Capital Limited,,,0,,,,Normal,,,0,0,0,0
,,Alternative Designed & Bold,,,0,,,,Normal,,,0,0,0,0
,,Alternative energy promotion center,,,0,,,,Normal,,,0,0,0,0
,,Amadico Nepal Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Ambikeshwari Group Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Amc Group Nepal PVT LTD,,,0,,,,Normal,,,0,0,0,0
,,AMDA Hospital,,,0,,,,Normal,,,0,0,0,0
,,Ameya Group,,,0,,,,Normal,,,0,0,0,0
,,Amit Kumar Kushwaha,,,0,,,,Normal,,,0,0,0,0
,,Ammy Entertainment Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Amnesty International Nepal,,,0,,,,Normal,,,0,0,0,0
,,Amod Pudasaini,,,0,,,,Normal,,,0,0,0,0
,,Amrit Karki,,,0,,,,Normal,,,0,0,0,0
,,Amrit Prasad Pokhrel,,,0,,,,Normal,,,0,0,0,0
,,Anamol Feeds Pvt. Ltd,,,0,,,,Normal,,,0,0,0,0
,,Ananda Prasad Sah,,,0,,,,Normal,,,0,0,0,0
,,Anand jewellers,,,0,,,,Normal,,,0,0,0,0
,,Anant Prasad,,,0,,,,Normal,,,0,0,0,0
,,Anaya Infotech Pvt. Ltd,,,0,,,,Normal,,,0,0,0,0
,,Angels' Heart National School Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Anil Basnet,,,0,,,,Normal,,,0,0,0,0
,,Anil Khatri,,,0,,,,Normal,,,0,0,0,0
,,Anil Multiple Company Pvt Ltd,,,0,,,,Normal,,,0,0,0,0
,,Anil Oli,,,0,,,,Normal,,,0,0,0,0
,,Anil Parajuli,,,0,,,,Normal,,,0,0,0,0
,,Anil Shrestha,,,0,,,,Normal,,,0,0,0,0
,,Anish Gyawali,,,0,,,,Normal,,,0,0,0,0
,,Anjali Saving & Credit Co-Operative Ltd,,,0,,,,Normal,,,0,0,0,0
,,Anjaneyaa Consultancy pvt.ltd,,,0,,,,Normal,,,0,0,0,0
,,Anjani Kumar Adhikari,,,0,,,,Normal,,,0,0,0,0
,,Anjani Sut Granite Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Ankur Saving and Credit,,,0,,,,Normal,,,0,0,0,0
,,Ankush shrestha,,,0,,,,Normal,,,0,0,0,0
,,Anmol Suppliers,,,0,,,,Normal,,,0,0,0,0
,,Annapurna cement company pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,ANNAPURNA CLUB (R.C.T),,,0,,,,Normal,,,0,0,0,0
,,Annapurna English Secondary School,,,0,,,,Normal,,,0,0,0,0
,,Annapurna Media Network Nepal Pvt Ltd,,,0,,,,Normal,,,0,0,0,0
,,Annapurna Royal Camp Pvt Ltd,,,0,,,,Normal,,,0,0,0,0
,,Anoma Technologies Pvt Ltd,,,0,,,,Normal,,,0,0,0,0
,,Ansu Financial Services Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Anthropose Pvt Ltd,,,0,,,,Normal,,,0,0,0,0
,,Anukrit Trade Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Anup Gautam,,,0,,,,Normal,,,0,0,0,0
,,Anuradha Shrestha,,,0,,,,Normal,,,0,0,0,0
,,AOC Academy of Commerce Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Apala Jewels,,,0,,,,Normal,,,0,0,0,0
,,API BUSINESS PVT.LTD.,,,0,,,,Normal,,,0,0,0,0
,,API Nepal Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,A plus Technical Institute and Consultancy,,,0,,,,Normal,,,0,0,0,0
,,Approach English School,,,0,,,,Normal,,,0,0,0,0
,,Apricus Cafe & Restaurant,,,0,,,,Normal,,,0,0,0,0
,,A.P. Two Multiservices Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Arajon Pvt Ltd,,,0,,,,Normal,,,0,0,0,0
,,Arjun Dahal,,,0,,,,Normal,,,0,0,0,0
,,Arpan Phyual,,,0,,,,Normal,,,0,0,0,0
,,Arpan Sainju,,,0,,,,Normal,,,0,0,0,0
,,Arun Kumar Dokaniya,,,0,,,,Normal,,,0,0,0,0
,,Arun Rural Municipality,,,0,,,,Normal,,,0,0,0,0
,,Aryan,,,0,,,,Normal,,,0,0,0,0
,,Aryan School Pvt Ltd,,,0,,,,Normal,,,0,0,0,0
,,Arya Pharmalab Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Asha Group Of Companies Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Ashish Adhikari,,,0,,,,Normal,,,0,0,0,0
,,Ashish Amgain,,,0,,,,Normal,,,0,0,0,0
,,Ashish Karki,,,0,,,,Normal,,,0,0,0,0
,,Ashok Bhusal,,,0,,,,Normal,,,0,0,0,0
,,Ashok Khadka,,,0,,,,Normal,,,0,0,0,0
,,Ashok Pandeya,,,0,,,,Normal,,,0,0,0,0
,,Asian College of Higher Studies,,,0,,,,Normal,,,0,0,0,0
,,Asian Life Insurance Company,,,0,,,,Normal,4,,0,0,0,0
,,Asian Paints Nepal Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Asiapower Recritment Consultants Pvt Ltd,,,0,,,,Normal,,,0,0,0,0
,,Ason Investment,,,0,,,,Normal,,,0,0,0,0
,,Asri Jewellers,,,0,,,,Normal,,,0,0,0,0
,,Association Private health institution nepal,,,0,,,,Normal,,,0,0,0,0
,,Astamatrika Saving & Credit Co-operative Society Ltd,,,0,,,,Normal,,,0,0,0,0
,,Aster Innovations Private Limited,,,0,,,,Normal,,,0,0,0,0
,,Astirik Technology,,,0,,,,Normal,,,0,0,0,0
,,Attari Trade & Suppliers pvt ltd,,,0,,,,Normal,,,0,0,0,0
,,Auditors Association of Nepal,,,0,,,,Normal,,,0,0,0,0
,,Aura digital pvt ltd,,,0,,,,Normal,,,0,0,0,0
,,Aurahi Municipality,,,0,,,,Normal,,,0,0,0,0
,,Aurora Foundation,,,0,,,,Normal,,,0,0,0,0
,,Austin Incorporation Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Auto ave Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,AUTO CITY,,,0,,,,Normal,,,0,0,0,0
,,Auto Parts International Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Avata Wellness Center Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Avinash Thakur,,,0,,,,Normal,,,0,0,0,0
,,Avirup Motors Pvt.Ltd,,,0,,,,Normal,,,0,0,0,0
,,Aviyan Laghubitta Bittiya Sanstha Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Avya Fitness Pvt Ltd,,,0,,,,Normal,,,0,0,0,0
,,Axiom Nepal Pvt. Ltd,,,0,,,,Normal,,,0,0,0,0
,,Axis College Pvt Ltd,,,0,,,,Normal,,,0,0,0,0
,,Axis Education Consultant Pvt Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Axis International School,,,0,,,,Normal,,,0,0,0,0
,,Axis Vidyashram Secondary School,,,0,,,,Normal,,,0,0,0,0
,,Ayusha,,,0,,,,Normal,,,0,0,0,0
,,Ayushasti Ayurveda Clinic,,,0,,,,Normal,,,0,0,0,0
,,Babadham Traders,,,0,,,,Normal,,,0,0,0,0
,,Babies Day out,,,0,,,,Normal,,,0,0,0,0
,,Baburam Aryal,,,0,,,,Normal,,,0,0,0,0
,,Baburam Paudel,,,0,,,,Normal,,,0,0,0,0
,,Babu Ram Tamang,,,0,,,,Normal,,,0,0,0,0
,,Badakholi United Public School,,,0,,,,Normal,,,0,0,0,0
,,"BADAL VET DISTRIBUTORS PVT LTD
",,,0,,,,Normal,,,0,0,0,0
,,Badhaiyatal Rural Municipality,,,0,,,,Normal,,,0,0,0,0
,,Badikhel Saving & Credit Cooperative Society Ltd,,,0,,,,Normal,,,0,0,0,0
,,Baghmara Multipurpose Saccos Co-Operative Society Limited,,,0,,,,Normal,,,0,0,0,0
,,Baglung Mulpani Samaj,,,0,,,,Normal,,,0,0,0,0
,,BAJAJ NAMASTE MOTORCYCLE AUTOCARE,,,0,,,,Normal,,,0,0,0,0
,,BAJRA & BAJRACHARYA PVT.LTD,,,0,,,,Normal,,,0,0,0,0
,,Bake n Take Bakery,,,0,,,,Normal,,,0,0,0,0
,,Bakery Sansar,,,0,,,,Normal,,,0,0,0,0
,,Balaji Automobiles,,,0,,,,Normal,,,0,0,0,0
,,Balaji Auto World,,,0,,,,Normal,,,0,0,0,0
,,Balaji Multipurpose Co-Operative Sanstha Ltd,,,0,,,,Normal,,,0,0,0,0
,,Bal Bahadur Bhandari,,,0,,,,Normal,,,0,0,0,0
,,Bal Batika School Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Bal Batika Vidya Mandir School,,,0,,,,Normal,,,0,0,0,0
,,Bal Deeksha Sadan Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Balodaya Secondary School,,,0,,,,Normal,,,0,0,0,0
,,Bampihyala Media Pvt Ltd,,,0,,,,Normal,,,0,0,0,0
,,B. AND B. SOFT TECH KATHMANDU PVT. LTD,,,0,,,,Normal,,,0,0,0,0
,,Barbardiya Municipality,,,0,,,,Normal,,,0,0,0,0
,,Bar Code Jeans,,,0,,,,Normal,,,0,0,0,0
,,Barsa Man Pun,,,0,,,,Normal,,,0,0,0,0
,,Barun Dhungel,,,0,,,,Normal,,,0,0,0,0
,,Basundhara thapa,,,0,,,,Normal,,,0,0,0,0
,,Bato Sathi Services Nepal,,,0,,,,Normal,,,0,0,0,0
,,Baudikali Rural Municipality,,,0,,,,Normal,,,0,0,0,0
,,Bawarchi Babarmahal Revisited,,,0,,,,Normal,,,0,0,0,0
,,BBC Global Education Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,"Beaumont Abroad Study Services Pvt. Ltd
",,,0,,,,Normal,,,0,0,0,0
,,Beema Samiti(Nepal Beema Pradhikaran),,,0,,,,Normal,,,0,0,0,0
,,Belaka Municipality,,,0,,,,Normal,,,0,0,0,0
,,Beleyo IT Store,,,0,,,,Normal,,,0,0,0,0
,,Berger Jenson & Nicholson (Nepal) Pvt. Ltd,,,0,,,,Normal,4,,0,0,0,0
,,Best One Education Pvt Ltd,,,0,,,,Normal,,,0,0,0,0
,,Best Water Tank Cleaning Service,,,0,,,,Normal,,,0,0,0,0
,,Best Wishes Education and Services Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Bethel Saving And Credit Cooperative ltd,,,0,,,,Normal,,,0,0,0,0
,,Beyond Tax Solution Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Beyul Life Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Bhadra Kathayat,,,0,,,,Normal,,,0,0,0,0
,,Bhageshwor Academy for Health Science Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Bhagwat Sapkota,,,0,,,,Normal,,,0,0,0,0
,,Bhaibav Umbrella House,,,0,,,,Normal,,,0,0,0,0
,,Bhaktapur chamber of commerce and industries,,,0,,,,Normal,,,0,0,0,0
,,Bhaktapur Multiple College,,,0,,,,Normal,,,0,0,0,0
,,BHAKTI TRADE CONCERN,,,0,,,,Normal,,,0,0,0,0
,,Bhaktpur NIST School Pvt.Ltd,,,0,,,,Normal,,,0,0,0,0
,,Bhanu Bhakta Secondary Boarding School,,,0,,,,Normal,,,0,0,0,0
,,Bhanu Memorial English Broading School Pvt,,,0,,,,Normal,,,0,0,0,0
,,Bharatpur Hospital,,,0,,,,Normal,,,0,0,0,0
,,Bharosa Multipurpose Co-operative Limited,,,0,,,,Normal,,,0,0,0,0
,,Bharosa Network Pvt Ltd,,,0,,,,Normal,,,0,0,0,0
,,Bhaskar Ranjan,,,0,,,,Normal,,,0,0,0,0
,,Bheem Kumar Thami,,,0,,,,Normal,,,0,0,0,0
,,Bheriganga Municipality,,,0,,,,Normal,,,0,0,0,0
,,Bheri Municipality,,,0,,,,Normal,,,0,0,0,0
,,Bhimsen Das Pradhan,,,0,,,,Normal,,,0,0,0,0
,,Bhimsenthapa Gaupalika,,,0,,,,Normal,,,0,0,0,0
,,Bhojpur Municipality,,,0,,,,Normal,,,0,0,0,0
,,Bhola Bidari,,,0,,,,Normal,,,0,0,0,0
,,Bhumidev Furniture Bazar Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Bhupal Sharma,,,0,,,,Normal,,,0,0,0,0
,,Bhupendra KML,,,0,,,,Normal,,,0,0,0,0
,,Bhushan Gaha Magar,,,0,,,,Normal,,,0,0,0,0
,,Bibek Chand,,,0,,,,Normal,,,0,0,0,0
,,Bibek Lamichhane,,,0,,,,Normal,,,0,0,0,0
,,Bibeksheel Party,,,0,,,,Normal,,,0,0,0,0
,,BIC Technology Pvt Ltd,,,0,,,,Normal,,,0,0,0,0
,,Bijaya bahadur swar,,,0,,,,Normal,,,0,0,0,0
,,Bijay Kumar Gochyadar,,,0,,,,Normal,,,0,0,0,0
,,Bijay Prakash Karmacharya,,,0,,,,Normal,,,0,0,0,0
,,Bijendra shrestha,,,0,,,,Normal,,,0,0,0,0
,,Bikash Bhandari,,,0,,,,Normal,,,0,0,0,0
,,Bikash Tandan,,,0,,,,Normal,,,0,0,0,0
,,Biker Depot Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Bikram Pokhrel,,,0,,,,Normal,,,0,0,0,0
,,Bimal Kumar Kedia,,,0,,,,Normal,,,0,0,0,0
,,Bimlendra Nidhi,,,0,,,,Normal,,,0,0,0,0
,,Binayak Infotech Networks,,,0,,,,Normal,,,0,0,0,0
,,Binay Bhakta Shrestha,,,0,,,,Normal,,,0,0,0,0
,,Binaytara Foundation Cancer Center Hospital,,,0,,,,Normal,,,0,0,0,0
,,Bindhyabasini Hydropower Development Company Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Binil KC,,,0,,,,Normal,,,0,0,0,0
,,Binita remittance and online sewa,,,0,,,,Normal,,,0,0,0,0
,,Binod Ghale,,,0,,,,Normal,,,0,0,0,0
,,Binod Kumar Poudel,,,0,,,,Normal,,,0,0,0,0
,,Binod Pokhrel,,,0,,,,Normal,,,0,0,0,0
,,Binod Sunar,,,0,,,,Normal,,,0,0,0,0
,,Binyash Neupane,,,0,,,,Normal,,,0,0,0,0
,,Bipin Kumar Acharya,,,0,,,,Normal,,,0,0,0,0
,,Bipul Neupane,,,0,,,,Normal,,,0,0,0,0
,,Biraj Khadka,,,0,,,,Normal,,,0,0,0,0
,,Birat College for professional studies Pvt. Ltd,,,0,,,,Normal,,,0,0,0,0
,,Birat Nursing Home Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Birendra aryal,,,0,,,,Normal,,,0,0,0,0
,,Birendra Nagar Saccos,,,0,,,,Normal,,,0,0,0,0
,,Birendranagar Saving and Credit Co-operative Society Ltd.,,,0,,,,Normal,,,0,0,0,0
,,"Birgunj Metropolitan City,Office of Municipal Executive",,,0,,,,Normal,,,0,0,0,0
,,Bir Hospital,,,0,,,,Normal,,,0,0,0,0
,,Biruwa Rural Municipality,,,0,,,,Normal,,,0,0,0,0
,,Bishal Gupta (one time sms),,,0,,,,Normal,,,0,0,0,0
,,Bishal Pathak,,,0,,,,Normal,,,0,0,0,0
,,Bishandevi Multi-Purpose Cooperative Limited,,,0,,,,Normal,,,0,0,0,0
,,Bishnu Bhandari,,,0,,,,Normal,,,0,0,0,0
,,Bishnu Khadka,,,0,,,,Normal,,,0,0,0,0
,,Bishnu Shrestha,,,0,,,,Normal,,,0,0,0,0
,,Bishnu Swar,,,0,,,,Normal,,,0,0,0,0
,,Biz Bazar Ltd.,,,0,,,,Normal,,,0,0,0,0
